severity	item	message
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1i	identity=66.210; reciprocal_min_coverage=0.863; retained_hsp_aligned_bp=438
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1j	identity=65.820; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=433
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1k	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1l	identity=67.206; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=433
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1m	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1n	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1o	identity=70.297; reciprocal_min_coverage=0.204; retained_hsp_aligned_bp=101
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1p	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1q	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A1r	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A2a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A2a_b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A2b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A3a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A3b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A3c	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_A3d	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_D7a	identity=92.508; reciprocal_min_coverage=88.239; retained_hsp_aligned_bp=44738
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_D7b	identity=92.888; reciprocal_min_coverage=88.829; retained_hsp_aligned_bp=44363
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_D7c	identity=92.928; reciprocal_min_coverage=90.135; retained_hsp_aligned_bp=44913
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K10PH82C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K11PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K12P1_1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K13PH07C1L	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K13PH07C1S	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K14PH164C1	identity=93.416; reciprocal_min_coverage=89.923; retained_hsp_aligned_bp=44686
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K15PH90	identity=66.204; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=432
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K16PH164C3	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K17alfa61	identity=89.489; reciprocal_min_coverage=86.274; retained_hsp_aligned_bp=42861
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K17alfa62	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K18PH07C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K1PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K2064PH2	identity=92.790; reciprocal_min_coverage=84.360; retained_hsp_aligned_bp=42277
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K2069PH1	identity=92.940; reciprocal_min_coverage=89.384; retained_hsp_aligned_bp=44784
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K21lambda1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K23PH08C2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K25PH129C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K27PH129C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K28PH129	identity=93.434; reciprocal_min_coverage=89.335; retained_hsp_aligned_bp=44546
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K29PH164C1	identity=68.247; reciprocal_min_coverage=51.199; retained_hsp_aligned_bp=27500
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K2PH164C1	identity=92.356; reciprocal_min_coverage=87.022; retained_hsp_aligned_bp=43394
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K2PH164C2	identity=93.311; reciprocal_min_coverage=91.877; retained_hsp_aligned_bp=45824
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K2alfa62	identity=91.567; reciprocal_min_coverage=89.941; retained_hsp_aligned_bp=44920
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K30lambda2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K32PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K33PH14C2	identity=83.774; reciprocal_min_coverage=80.434; retained_hsp_aligned_bp=41668
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K34PH164	identity=70.543; reciprocal_min_coverage=1.033; retained_hsp_aligned_bp=516
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K35PH164C3	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K39PH122C2	identity=67.436; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=433
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K40PH129C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K43PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K45PH128C2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K46PH129	identity=90.030; reciprocal_min_coverage=88.408; retained_hsp_aligned_bp=44092
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K48PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K49PH164C2	identity=70.579; reciprocal_min_coverage=1.211; retained_hsp_aligned_bp=605
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K50PH164C1	identity=67.836; reciprocal_min_coverage=37.749; retained_hsp_aligned_bp=19099
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K51PH129C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K52PH129C1	identity=92.984; reciprocal_min_coverage=88.099; retained_hsp_aligned_bp=43914
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K53PH164C2	identity=91.457; reciprocal_min_coverage=88.338; retained_hsp_aligned_bp=44162
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K54lambda1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K54lambda2	identity=92.309; reciprocal_min_coverage=89.440; retained_hsp_aligned_bp=44597
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K56PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K57lambda1	identity=73.267; reciprocal_min_coverage=0.136; retained_hsp_aligned_bp=101
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K58PH129C2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K60PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K61PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K62PH164C2	identity=68.515; reciprocal_min_coverage=52.112; retained_hsp_aligned_bp=28267
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K63PH128	identity=85.650; reciprocal_min_coverage=82.597; retained_hsp_aligned_bp=42536
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K65PH164	identity=68.936; reciprocal_min_coverage=0.141; retained_hsp_aligned_bp=235
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K66PH128C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K69PH164C2	identity=93.049; reciprocal_min_coverage=87.780; retained_hsp_aligned_bp=43707
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K6PH25C3	identity=84.152; reciprocal_min_coverage=80.777; retained_hsp_aligned_bp=41259
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K71PH129C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K72PH164C2	identity=66.282; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=433
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K74PH129C2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K7PH164C4	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K82P1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K8PH128	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_K9PH25C2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_M12a	identity=70.115; reciprocal_min_coverage=0.521; retained_hsp_aligned_bp=261
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_M5a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_M5b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_P4a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_P4b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S10a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S11a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S13a	identity=69.076; reciprocal_min_coverage=0.501; retained_hsp_aligned_bp=249
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S13b	identity=68.724; reciprocal_min_coverage=0.990; retained_hsp_aligned_bp=713
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S13c	identity=66.359; reciprocal_min_coverage=0.422; retained_hsp_aligned_bp=217
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S13d	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S13e	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S13f	identity=71.564; reciprocal_min_coverage=0.260; retained_hsp_aligned_bp=211
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S6a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S8a	identity=70.162; reciprocal_min_coverage=0.493; retained_hsp_aligned_bp=248
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S8b	identity=73.239; reciprocal_min_coverage=0.859; retained_hsp_aligned_bp=426
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S8c	identity=72.537; reciprocal_min_coverage=0.673; retained_hsp_aligned_bp=335
info	Klebsiella phage PhiKpNIH-2 vs phagehostlearn_2024_phage_S9a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1c	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1d	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1e	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1f	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1g	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1h	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1i	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1j	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1k	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1l	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1m	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1n	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1o	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1p	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1q	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A1r	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A2a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A2a_b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A2b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A3a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A3b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A3c	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_A3d	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_D7a	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_D7b	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_D7c	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K10PH82C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K11PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K12P1_1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K13PH07C1L	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K13PH07C1S	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K14PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K15PH90	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K16PH164C3	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K17alfa61	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K17alfa62	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K18PH07C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K1PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K2064PH2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K2069PH1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K21lambda1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K23PH08C2	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K25PH129C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K27PH129C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K28PH129	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K29PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
info	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724 vs phagehostlearn_2024_phage_K2PH164C1	identity=0.000; reciprocal_min_coverage=0.000; retained_hsp_aligned_bp=0
