genome_id_1	genome_id_2	identity_percent	coverage_percent	method	evidence_source	notes	aligned_fragments	total_fragments
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1l	84.875500	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1m	85.284200	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1n	85.497600	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1o	85.245500	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1p	84.834700	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1q	84.228300	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A1r	83.978200	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A2a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A2a_b	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A2b	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A3a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A3b	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A3c	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_A3d	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_D7a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_D7b	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_D7c	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K10PH82C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K11PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K12P1_1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K13PH07C1L	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K13PH07C1S	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K14PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K15PH90	84.415200	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K16PH164C3	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K17alfa61	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K17alfa62	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K18PH07C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K1PH164C1	84.266000	85.714286	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	12	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K2064PH2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K2069PH1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K21lambda1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K23PH08C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K25PH129C1	84.497800	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K27PH129C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K28PH129	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K29PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K2PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K2PH164C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K2alfa62	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K30lambda2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K32PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K33PH14C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K34PH164	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K35PH164C3	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K39PH122C2	86.047000	71.428571	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	10	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K40PH129C1	85.130700	92.857143	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	13	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K43PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K45PH128C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K46PH129	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K48PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K49PH164C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K50PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K51PH129C1	85.421200	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K52PH129C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K53PH164C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K54lambda1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K54lambda2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K56PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K57lambda1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K58PH129C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K60PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K61PH164C1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K62PH164C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K63PH128	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K65PH164	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K66PH128C1	84.809600	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K69PH164C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K6PH25C3	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K71PH129C1	86.395200	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K72PH164C2	83.676300	78.571429	fastani_all_vs_all	build_fastani_pairwise_similarity.py	fastANI version 1.34; coverage is aligned_fragments/total_fragments from fastANI output. This is an ANI robustness baseline and may omit distant phage relationships by fastANI design.	11	14
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K74PH129C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K7PH164C4	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K82P1	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K8PH128	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_K9PH25C2	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_M12a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_M5a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_M5b	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_P4a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_P4b	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_S10a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_S11a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
phagehostlearn_2024_phage_A1a	phagehostlearn_2024_phage_S13a	0.000000	0.000000	fastani_all_vs_all_no_hit	build_fastani_pairwise_similarity.py	fastANI version 1.34 did not report this pair; retained as explicit zero for complete pairwise baseline. Zero means no fastANI-reported ANI hit, not proof of no homology.	0	0
