annotation_gene_id	domain_id	domain_name	start_aa	end_aa	evalue	evidence_source	notes
phagehostlearn_2024_phage_A1q|prodigal_00019	phrog_2710	tail fiber protein	1	288	3.590E-85	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=301; qcov=0.364; tcov=0.909; pident=60.300
phagehostlearn_2024_phage_A1q|prodigal_00019	phrog_6518	tail fiber protein	300	791	1.025E-139	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=463; qcov=0.622; tcov=1.000; pident=58.000
phagehostlearn_2024_phage_A1r|prodigal_00009	phrog_11393	tail fiber protein	2	250	1.983E-71	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=259; qcov=0.319; tcov=0.452; pident=30.400
phagehostlearn_2024_phage_A1r|prodigal_00009	phrog_2710	tail fiber protein	1	277	2.626E-80	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=286; qcov=0.355; tcov=0.909; pident=60.500
phagehostlearn_2024_phage_A1r|prodigal_00009	phrog_6518	tail fiber protein	289	780	8.343E-137	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=454; qcov=0.631; tcov=1.000; pident=57.200
phagehostlearn_2024_phage_A2a_b|prodigal_00003	phrog_7450	polysaccharide chain length determinant protein	1	124	5.270E-15	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=moron, auxiliary metabolic gene and host takeover; bits=70; qcov=0.992; tcov=0.992; pident=28.200
phagehostlearn_2024_phage_A2a_b|prodigal_00022	phrog_16586	tail fiber protein	39	408	6.648E-31	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=131; qcov=0.481; tcov=0.363; pident=26.000
phagehostlearn_2024_phage_A2a_b|prodigal_00032	phrog_11393	tail fiber protein	3	254	4.232E-24	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=104; qcov=0.768; tcov=0.438; pident=29.000
phagehostlearn_2024_phage_A2a_b|prodigal_00032	phrog_2710	tail fiber protein	1	265	3.749E-65	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=225; qcov=0.808; tcov=0.834; pident=24.100
phagehostlearn_2024_phage_A2a_b|prodigal_00032	phrog_32829	tail fiber protein	10	109	9.455E-07	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=50; qcov=0.305; tcov=0.120; pident=31.000
phagehostlearn_2024_phage_A2a|prodigal_00007	phrog_11393	tail fiber protein	3	254	1.938E-23	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=102; qcov=0.768; tcov=0.438; pident=29.000
phagehostlearn_2024_phage_A2a|prodigal_00007	phrog_2710	tail fiber protein	1	265	3.749E-65	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=225; qcov=0.808; tcov=0.834; pident=23.700
phagehostlearn_2024_phage_A2a|prodigal_00007	phrog_32829	tail fiber protein	10	109	9.455E-07	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=50; qcov=0.305; tcov=0.120; pident=31.000
phagehostlearn_2024_phage_A2a|prodigal_00031	phrog_7450	polysaccharide chain length determinant protein	1	124	5.270E-15	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=moron, auxiliary metabolic gene and host takeover; bits=70; qcov=0.992; tcov=0.992; pident=28.200
phagehostlearn_2024_phage_A2a|prodigal_00050	phrog_16586	tail fiber protein	39	408	6.648E-31	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=131; qcov=0.481; tcov=0.363; pident=26.000
phagehostlearn_2024_phage_A2b|prodigal_00009	phrog_16586	tail fiber protein	39	408	2.736E-30	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=129; qcov=0.481; tcov=0.363; pident=25.700
phagehostlearn_2024_phage_A2b|prodigal_00019	phrog_11393	tail fiber protein	3	254	1.938E-23	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=102; qcov=0.768; tcov=0.438; pident=28.600
phagehostlearn_2024_phage_A2b|prodigal_00019	phrog_2710	tail fiber protein	1	264	3.749E-65	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=225; qcov=0.805; tcov=0.831; pident=23.800
phagehostlearn_2024_phage_A2b|prodigal_00019	phrog_32829	tail fiber protein	10	109	4.612E-07	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=51; qcov=0.305; tcov=0.120; pident=31.000
phagehostlearn_2024_phage_A2b|prodigal_00043	phrog_7450	polysaccharide chain length determinant protein	1	124	5.270E-15	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=moron, auxiliary metabolic gene and host takeover; bits=70; qcov=0.992; tcov=0.992; pident=28.200
phagehostlearn_2024_phage_A3a|prodigal_00002	phrog_13980	tail fiber protein	1	159	6.100E-46	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=181; qcov=0.162; tcov=0.494; pident=54.000
phagehostlearn_2024_phage_A3a|prodigal_00002	phrog_24786	tail fiber protein	5	294	9.436E-96	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=338; qcov=0.296; tcov=0.312; pident=60.000
phagehostlearn_2024_phage_A3a|prodigal_00002	phrog_4242	tail fiber protein	1	158	1.414E-54	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=209; qcov=0.161; tcov=0.253; pident=57.500
phagehostlearn_2024_phage_A3a|prodigal_00002	phrog_9502	tail fiber protein	1	158	3.006E-50	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=195; qcov=0.161; tcov=0.235; pident=58.200
phagehostlearn_2024_phage_A3a|prodigal_00003	phrog_4201	tail fiber protein	103	269	1.518E-12	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=70; qcov=0.321; tcov=0.248; pident=25.600
phagehostlearn_2024_phage_A3a|prodigal_00050	phrog_21143	lytic tail fiber protein	12	138	1.155E-07	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=55; qcov=0.154; tcov=0.200; pident=33.000
phagehostlearn_2024_phage_A3a|prodigal_00050	phrog_28504	lytic tail fiber protein	9	138	9.417E-07	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=52; qcov=0.157; tcov=0.206; pident=30.500
phagehostlearn_2024_phage_A3b|prodigal_00022	phrog_16586	tail fiber protein	1	326	1.429E-38	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=156; qcov=0.412; tcov=0.300; pident=41.400
phagehostlearn_2024_phage_A3b|prodigal_00022	phrog_24786	tail fiber protein	1	289	5.067E-139	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=461; qcov=0.365; tcov=0.320; pident=78.800
phagehostlearn_2024_phage_A3b|prodigal_00022	phrog_6256	tail fiber protein	1	150	5.937E-38	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=154; qcov=0.189; tcov=0.261; pident=50.500
phagehostlearn_2024_phage_A3b|prodigal_00023	phrog_4201	tail fiber protein	104	270	1.821E-13	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=73; qcov=0.320; tcov=0.248; pident=26.200
phagehostlearn_2024_phage_A3c|prodigal_00044	phrog_16586	tail fiber protein	1	289	7.994E-34	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=141; qcov=0.330; tcov=0.267; pident=43.400
phagehostlearn_2024_phage_A3c|prodigal_00044	phrog_24786	tail fiber protein	1	288	7.754E-132	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=443; qcov=0.329; tcov=0.319; pident=76.000
phagehostlearn_2024_phage_A3c|prodigal_00044	phrog_9823	tail fiber protein	130	875	5.787E-256	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=806; qcov=0.853; tcov=0.997; pident=50.000
phagehostlearn_2024_phage_A3c|prodigal_00045	phrog_19988	tail spike protein	1	56	1.089E-06	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=51; qcov=0.103; tcov=0.083; pident=60.700
phagehostlearn_2024_phage_A3d|prodigal_00041	phrog_16586	tail fiber protein	1	336	9.365E-37	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=151; qcov=0.341; tcov=0.311; pident=39.800
phagehostlearn_2024_phage_A3d|prodigal_00041	phrog_24786	tail fiber protein	1	289	1.414E-132	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=449; qcov=0.294; tcov=0.320; pident=77.100
phagehostlearn_2024_phage_A3d|prodigal_00041	phrog_6256	tail fiber protein	1	150	2.783E-38	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=156; qcov=0.152; tcov=0.261; pident=50.500
phagehostlearn_2024_phage_D7a|prodigal_00043	phrog_31	central tail fiber J	8	862	2.223E-167	MMseqs2 PHROGs profile search	PHROGs profile hit from MMseqs2; computational receptor-module candidate only, not capsule specificity or functional validation; phrog_category=tail; bits=561; qcov=0.694; tcov=0.575; pident=13.100
