system	type	sample	genome_id	host_genome_id	subtype	gene_count	genes	contig	start	end	evidence_source	notes
15_length=104865_depth=1.15x_RloC_8	RloC	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	RloC	1	15_length=104865_depth=1.15x_36	15_length=104865_depth=1.15x	15_length=104865_depth=1.15x_36	15_length=104865_depth=1.15x_36	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
1_length=678279_depth=0.87x_Rst_3HP_4	Rst_3HP	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	Rst_3HP	3	1_length=678279_depth=0.87x_179,1_length=678279_depth=0.87x_180,1_length=678279_depth=0.87x_181	1_length=678279_depth=0.87x	1_length=678279_depth=0.87x_179	1_length=678279_depth=0.87x_181	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
26_length=58259_depth=1.08x_TgvAB_5	TgvAB	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	phagehostlearn_2024_host_102KP-HG	TgvAB	2	26_length=58259_depth=1.08x_1,26_length=58259_depth=1.08x_2	26_length=58259_depth=1.08x	26_length=58259_depth=1.08x_1	26_length=58259_depth=1.08x_2	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
119_length=16083_depth=0.71x_CAS_Class1-Subtype-I-E_16	Cas	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	CAS_Class1-Subtype-I-E	2	119_length=16083_depth=0.71x_16,119_length=16083_depth=0.71x_17	119_length=16083_depth=0.71x	119_length=16083_depth=0.71x_16	119_length=16083_depth=0.71x_17	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
198_length=7057_depth=0.72x_CAS_Class1-Subtype-I-E_18	Cas	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	CAS_Class1-Subtype-I-E	6	198_length=7057_depth=0.72x_1,198_length=7057_depth=0.72x_2,198_length=7057_depth=0.72x_3,198_length=7057_depth=0.72x_4,198_length=7057_depth=0.72x_5,198_length=7057_depth=0.72x_6	198_length=7057_depth=0.72x	198_length=7057_depth=0.72x_1	198_length=7057_depth=0.72x_6	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
110_length=17078_depth=0.85x_DS-43_14	DS-43	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	DS-43	1	110_length=17078_depth=0.85x_17	110_length=17078_depth=0.85x	110_length=17078_depth=0.85x_17	110_length=17078_depth=0.85x_17	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
102_length=18082_depth=0.99x_Hachiman_5	Hachiman	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	Hachiman	2	102_length=18082_depth=0.99x_8,102_length=18082_depth=0.99x_9	102_length=18082_depth=0.99x	102_length=18082_depth=0.99x_8	102_length=18082_depth=0.99x_9	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
66_length=25626_depth=0.78x_Lamassu-PDDEXK_9	Lamassu-Fam	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	Lamassu-PDDEXK	2	66_length=25626_depth=0.78x_1,66_length=25626_depth=0.78x_2	66_length=25626_depth=0.78x	66_length=25626_depth=0.78x_1	66_length=25626_depth=0.78x_2	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
128_length=15004_depth=1.37x_Mok_Hok_Sok_13	Mok_Hok_Sok	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	Mok_Hok_Sok	1	128_length=15004_depth=1.37x_3	128_length=15004_depth=1.37x	128_length=15004_depth=1.37x_3	128_length=15004_depth=1.37x_3	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
102_length=18082_depth=0.99x_Other_Type_IV_7	Other_Type_IV	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	Other_Type_IV	1	102_length=18082_depth=0.99x_7	102_length=18082_depth=0.99x	102_length=18082_depth=0.99x_7	102_length=18082_depth=0.99x_7	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
154_length=11462_depth=1.01x_Other_Type_IV_1	Other_Type_IV	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	Other_Type_IV	1	154_length=11462_depth=1.01x_7	154_length=11462_depth=1.01x	154_length=11462_depth=1.01x_7	154_length=11462_depth=1.01x_7	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
61_length=27109_depth=0.89x_PARIS_I_2	Paris	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	PARIS_I	2	61_length=27109_depth=0.89x_22,61_length=27109_depth=0.89x_23	61_length=27109_depth=0.89x	61_length=27109_depth=0.89x_22	61_length=27109_depth=0.89x_23	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
103_length=17928_depth=0.73x_PhiR5.1_HipAD_4	PhiR5.1_HipAD	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	PhiR5.1_HipAD	2	103_length=17928_depth=0.73x_5,103_length=17928_depth=0.73x_6	103_length=17928_depth=0.73x	103_length=17928_depth=0.73x_5	103_length=17928_depth=0.73x_6	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
61_length=27109_depth=0.89x_N6_RM_Type_I_15	RM_Type_I	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	N6_RM_Type_I	3	61_length=27109_depth=0.89x_16,61_length=27109_depth=0.89x_17,61_length=27109_depth=0.89x_20	61_length=27109_depth=0.89x	61_length=27109_depth=0.89x_16	61_length=27109_depth=0.89x_20	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
66_length=25626_depth=0.78x_Retron_I_B_10	Retron	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	Retron_I_B	2	66_length=25626_depth=0.78x_4,66_length=25626_depth=0.78x_5	66_length=25626_depth=0.78x	66_length=25626_depth=0.78x_4	66_length=25626_depth=0.78x_5	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
190_length=7687_depth=0.95x_Shango_11	Shango	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	Shango	3	190_length=7687_depth=0.95x_2,190_length=7687_depth=0.95x_3,190_length=7687_depth=0.95x_4	190_length=7687_depth=0.95x	190_length=7687_depth=0.95x_2	190_length=7687_depth=0.95x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
61_length=27109_depth=0.89x_TgvAB_3	TgvAB	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	TgvAB	2	61_length=27109_depth=0.89x_18,61_length=27109_depth=0.89x_19	61_length=27109_depth=0.89x	61_length=27109_depth=0.89x_18	61_length=27109_depth=0.89x_19	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
92_length=19925_depth=0.79x_mEpX1_KilAN_P63C_12	mEpX1_KilAN_P63C	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	phagehostlearn_2024_host_1210	mEpX1_KilAN_P63C	1	92_length=19925_depth=0.79x_12	92_length=19925_depth=0.79x	92_length=19925_depth=0.79x_12	92_length=19925_depth=0.79x_12	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
2_length=62125_depth=1.18x_AbiE_14	AbiE	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	AbiE	2	2_length=62125_depth=1.18x_23,2_length=62125_depth=1.18x_24	2_length=62125_depth=1.18x	2_length=62125_depth=1.18x_23	2_length=62125_depth=1.18x_24	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
368_length=4606_depth=0.59x_CBASS_II_TM_8	CBASS	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	CBASS_II_TM	3	368_length=4606_depth=0.59x_2,368_length=4606_depth=0.59x_3,368_length=4606_depth=0.59x_4	368_length=4606_depth=0.59x	368_length=4606_depth=0.59x_2	368_length=4606_depth=0.59x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
320_length=5526_depth=0.90x_CBASS_I_TM_11	CBASS	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	CBASS_I_TM	2	320_length=5526_depth=0.90x_4,320_length=5526_depth=0.90x_5	320_length=5526_depth=0.90x	320_length=5526_depth=0.90x_4	320_length=5526_depth=0.90x_5	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
165_length=10608_depth=0.90x_CAS_Class1-Subtype-I-E_26	Cas	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	CAS_Class1-Subtype-I-E	2	165_length=10608_depth=0.90x_2,165_length=10608_depth=0.90x_3	165_length=10608_depth=0.90x	165_length=10608_depth=0.90x_2	165_length=10608_depth=0.90x_3	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
380_length=4365_depth=0.63x_CAS_Class1-Subtype-I-E_28	Cas	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	CAS_Class1-Subtype-I-E	5	380_length=4365_depth=0.63x_1,380_length=4365_depth=0.63x_2,380_length=4365_depth=0.63x_3,380_length=4365_depth=0.63x_4,380_length=4365_depth=0.63x_5	380_length=4365_depth=0.63x	380_length=4365_depth=0.63x_1	380_length=4365_depth=0.63x_5	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
5_length=52372_depth=1.06x_UG4_22	DRT-like_UG	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	UG4	1	5_length=52372_depth=1.06x_19	5_length=52372_depth=1.06x	5_length=52372_depth=1.06x_19	5_length=52372_depth=1.06x_19	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
152_length=11041_depth=0.87x_DS-16_15	DS-16	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	DS-16	2	152_length=11041_depth=0.87x_6,152_length=11041_depth=0.87x_7	152_length=11041_depth=0.87x	152_length=11041_depth=0.87x_6	152_length=11041_depth=0.87x_7	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
96_length=15469_depth=0.96x_Gabija_9	Gabija	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	Gabija	2	96_length=15469_depth=0.96x_9,96_length=15469_depth=0.96x_10	96_length=15469_depth=0.96x	96_length=15469_depth=0.96x_9	96_length=15469_depth=0.96x_10	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
107_length=14002_depth=1.06x_Hachiman_18	Hachiman	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	Hachiman	2	107_length=14002_depth=1.06x_10,107_length=14002_depth=1.06x_11	107_length=14002_depth=1.06x	107_length=14002_depth=1.06x_10	107_length=14002_depth=1.06x_11	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
228_length=8055_depth=0.97x_Lamassu_Cap4_13	Lamassu-Fam	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	Lamassu_Cap4	3	228_length=8055_depth=0.97x_3,228_length=8055_depth=0.97x_4,228_length=8055_depth=0.97x_5	228_length=8055_depth=0.97x	228_length=8055_depth=0.97x_3	228_length=8055_depth=0.97x_5	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
146_length=11253_depth=1.01x_Other_Type_IV_10	Other_Type_IV	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	Other_Type_IV	1	146_length=11253_depth=1.01x_4	146_length=11253_depth=1.01x	146_length=11253_depth=1.01x_4	146_length=11253_depth=1.01x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
525_length=2140_depth=0.55x_PD-T4-5_16	PD-T4-5	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	PD-T4-5	1	525_length=2140_depth=0.55x_2	525_length=2140_depth=0.55x	525_length=2140_depth=0.55x_2	525_length=2140_depth=0.55x_2	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
486_length=2592_depth=0.77x_PD-T7-1_20	PD-T7-1	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	PD-T7-1	1	486_length=2592_depth=0.77x_1	486_length=2592_depth=0.77x	486_length=2592_depth=0.77x_1	486_length=2592_depth=0.77x_1	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
149_length=11131_depth=0.74x_PhiEpX1_Gp15_21	PhiEpX1_Gp15	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	PhiEpX1_Gp15	1	149_length=11131_depth=0.74x_13	149_length=11131_depth=0.74x	149_length=11131_depth=0.74x_13	149_length=11131_depth=0.74x_13	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
213_length=8437_depth=0.93x_N6_RM_Type_I_25	RM_Type_I	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	N6_RM_Type_I	3	213_length=8437_depth=0.93x_1,213_length=8437_depth=0.93x_2,213_length=8437_depth=0.93x_3	213_length=8437_depth=0.93x	213_length=8437_depth=0.93x_1	213_length=8437_depth=0.93x_3	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
96_length=15469_depth=0.96x_N6_RM_Type_I_24	RM_Type_I	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	N6_RM_Type_I	3	96_length=15469_depth=0.96x_5,96_length=15469_depth=0.96x_6,96_length=15469_depth=0.96x_7	96_length=15469_depth=0.96x	96_length=15469_depth=0.96x_5	96_length=15469_depth=0.96x_7	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
345_length=4957_depth=2.35x_DNA_met_RM_Type_II_PDDEXK_23	RM_Type_II	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	phagehostlearn_2024_host_132	DNA_met_RM_Type_II_PDDEXK	2	345_length=4957_depth=2.35x_3,345_length=4957_depth=2.35x_4	345_length=4957_depth=2.35x	345_length=4957_depth=2.35x_3	345_length=4957_depth=2.35x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
